GRB,GPS,RA_rad,DEC_rad,detectors,logZ_Unconditioned_tran,logZ_Unconditioned_err_tran,logZ_Conditioned_tran,logZ_Conditioned_err_tran,delta_logZ_tran,delta_logZ_err_tran,Transient Unconditioned_MAP_M_c,Transient Unconditioned_MAP_q,Transient Unconditioned_MAP_s1_z,Transient Unconditioned_MAP_s2_z,Transient Unconditioned_MAP_iota,Transient Unconditioned_MAP_d_L,Transient Unconditioned_MAP_t_c,Transient Unconditioned_MAP_psi,Transient Unconditioned_MAP_ra,Transient Unconditioned_MAP_dec,Transient Unconditioned_MAP_lambda_1,Transient Unconditioned_MAP_lambda_2,Transient Conditioned_MAP_M_c,Transient Conditioned_MAP_q,Transient Conditioned_MAP_s1_z,Transient Conditioned_MAP_s2_z,Transient Conditioned_MAP_iota,Transient Conditioned_MAP_d_L,Transient Conditioned_MAP_t_c,Transient Conditioned_MAP_psi,Transient Conditioned_MAP_ra,Transient Conditioned_MAP_dec,Transient Conditioned_MAP_lambda_1,Transient Conditioned_MAP_lambda_2
GRB240615744,1402509123.0529342,5.692234275746826,0.6736063341487075,"L1,V1",-0.3497110164516846,0.064652189579087,-0.2824969768557894,0.0430245761579237,0.0672140395958951,0.0776596405537599,1.6852110609367266,0.1888329164048189,0.0311463232410689,0.0306687308838325,1.4517740806308204,508.2659729050066,-7.456804442046639,2.2809122558722086,0.6473304201507517,-0.3892162682348142,339.60955683234954,1922.1322031650827,1.71601436997697,0.1360624975039317,0.0467046303120328,-0.0261337329361139,1.6927341023908955,539.3888834521617,-7.608221762581016,0.5765176640223275,5.612323068964546,0.6950476926049699,1320.494132819208,189.240347954724
GRB240624251,1403244089.371411,1.787985098913071,-0.1141968929579889,"L1,V1",-0.3336482038505884,0.0608302823419817,-0.5121877633209685,0.0778828844297472,-0.17853955947038,0.0988234128984755,1.8718018283439373,0.1535856403139063,-0.0331540820026441,0.0411802991657017,1.654104590078426,488.68095694364746,-1.2833283701057034,0.7183553171224427,2.3212441720056267,-0.3888796808385282,2951.756868210104,2701.1965696600787,1.5202163761726757,0.1536722098193372,-0.0497425062599452,0.0100646556653443,1.717415928069824,543.8774742468305,-8.064499560519009,1.22350571847949,1.761061002176875,-0.1265532084995095,2726.454237793294,3830.817828649336
GRB240720017,1405470309.2160478,1.6877333866785167,0.5295678016401194,L1,-0.17572248469249,0.064456293242739,-0.0987664745222634,0.0421666361654043,0.0769560101702265,0.0770236258825793,1.9721338683463605,0.2108030478211754,0.0406985797131403,0.0331179272785031,0.8566700147975591,273.2894755980574,-2.990804045500816,0.3711194732574017,4.372466380173426,-0.0593812986444555,4307.276553794914,4181.670330240331,1.5455369332197797,0.166798130843985,-0.0341493573754498,-0.0442211951531245,1.6066265619040097,707.8747129484473,-8.918250211402412,2.202597335975469,1.732907235265284,0.5187555059840869,2448.823300262098,4259.1272922103735
GRB240821775,1408300580.6017632,6.182480001325732,-0.1776745230890105,"L1,V1",-0.2077639642243185,0.0594520271272672,-0.45683590701668,0.0909776969208795,-0.2490719427923614,0.1086806554386232,1.193453017479291,0.1535844860311599,-0.0472324179969008,0.0015086635006956,1.614164075649949,418.1027582494492,-7.912990675248872,0.5920468573378614,3.2995833519616338,-0.4190328709134875,2148.741111574189,1472.1320697760725,1.93550856386209,0.2152298085584314,0.0442174186454567,0.0060402970234112,0.974649032903882,449.12371198044286,-9.974901229274248,0.3868976110546118,6.104972052538475,-0.1879745106863816,3328.9430330202013,4082.076807909701
GRB240905186,1409545654.1398082,4.677482395344804,0.2478367537831947,V1,-0.0149456362779364,0.0318147538196917,-0.0190565433335367,0.0225690423678286,-0.0041109070556003,0.0390069254621334,1.2240759551395697,0.136005145027843,-0.015071267858495,-0.0201098035499,1.9332926447864227,96.5777181025328,-0.4291775216046778,1.3016749485439596,0.3635199267187902,-0.0932251491239197,2700.732802615846,895.4783398834719,1.3496997794825971,0.1668800352010349,0.009039936977528,-0.0376461188785547,1.5070675709206598,519.6364203645827,-9.57247972399383,2.4061726998745367,4.708797315105192,0.2729179622273248,4183.293425807543,88.3156298959619
GRB241204152,1417318780.5146885,5.523967082562053,0.1143190660056285,"L1,V1",-0.440806074981778,0.0666511859238412,-0.4288587231952357,0.0526625246960125,0.0119473517865422,0.0849454065409813,1.7615852701000068,0.1316113985642533,-0.0155678509367172,-0.0065785004616637,1.540551128761927,574.7689766351699,-5.75254553690012,0.6078621716849985,0.4578607434204261,0.4761306467764983,3906.561432519939,2726.1765609611607,1.6706052217777314,0.1272576770483907,-0.0361706031440831,-0.0391695325750421,1.460329145109848,688.925534297025,-1.583788628444772,1.870627290179233,5.444066345705643,0.1382582012396346,3428.740599717118,1043.8613291751524
GRB241209233,1417757762.162333,2.7118227785787097,0.1102349955559618,V1,-0.0623827373863652,0.0266695569179224,-0.1202556466655082,0.0348727761449689,-0.057872909279143,0.0439018881399812,1.394682254679028,0.1581435594951469,0.0246050996267539,0.0085290205533966,1.8696539113321256,695.9908539666317,-8.265283846268497,2.690303138446219,0.3639459979142657,-0.1039062593703551,2700.735498750021,3478.6726809848706,1.5100711605407453,0.1316657960059357,0.0075461784844594,0.0120713208166671,1.370626235746311,164.3218864279857,-9.821600096922584,1.131235474122684,2.8378279782206297,0.1425111644857978,2124.0306369984432,2926.775452332059
GRB230903724,1377796996.8148892,0.1732413815529571,-0.7142585430861594,"H1,L1",-0.1022190402036927,0.0891146596973731,-0.2632350784137132,0.1041207003672107,-0.1610160382100205,0.1370494174301267,1.6255058936144269,0.1271976177461149,0.0311541722147624,-0.0080635977655595,2.093395012107583,504.1779132729322,-3.543738175297884,0.197473809894686,6.014805030585135,0.3757891346220093,3855.816571393725,4258.67183133117,1.2292156033093922,0.3865669681105407,-0.0235871019339135,-0.0185858216139541,1.4640079084436173,100.58821737238569,-5.601389945404895,0.8284997923917865,0.0880494868234322,-0.9429609468043096,1494.8911531013064,2801.6161716160323
GRB170304003,1172621084.070442,5.768313177841259,-1.2873548562710175,"H1,L1",0.0315978628990056,0.0667102150632142,0.1342342003401092,0.0599039645711828,0.1026363374411035,0.0896590082765018,1.907023212038994,0.1579840723745396,-0.0386838522047368,0.0407001870603707,1.9233453249774544,606.129901881782,-2.841760456170676,1.9810333759815488,6.1399117751374375,-0.1088746166760831,942.7341056908856,4861.572167049177,1.625726052957095,0.1888782123819583,0.0185731223745413,-0.0040134214550945,2.1787555931094134,151.34122243454843,-3.593130880473238,1.286727477612703,5.768489239026689,-1.2191594465654756,3178.029512734593,3353.8773706919983
GRB230709735,1372959524.824675,4.669802946636028,-1.229933523880404,L1,-0.3760763569034045,0.0466758101150083,-0.4269489383567979,0.0717870598340609,-0.0508725814533934,0.0856271756483381,1.907004322360492,0.1798983419113917,-0.015070640890324,-0.0447195236670255,0.2383075161425471,668.7806139189462,-3.5952381663803465,0.9386849780543554,1.848272956577924,0.2018995770353514,716.1207005148985,339.2701975249679,1.7062096239727236,0.1491966265525127,-0.020605036357017,0.0442213315245955,1.988807993220839,516.4201365348765,-2.387605179621155,2.5486018621637863,4.526308000823722,-1.2075689742933942,4484.758687515327,414.8722565575243
GRB230723194,1374122341.466755,0.3998374783393809,-1.1704003430948775,"H1,L1",-0.1945506317376966,0.0853195311120911,-0.111823440354716,0.097300210937441,0.0827271913829805,0.1294092478830536,1.4045392813298323,0.3295411430430272,-0.0211062536245631,0.045196014502573,1.9697225123765807,198.90139028314195,-8.814347058312155,0.5759607601812711,4.120389554096998,0.0768162586800407,717.8570613270496,640.7480396348822,1.8166681019006208,0.2063670813888418,-0.0431997452711445,0.0331659418147618,1.9184913725266832,473.82447841464864,-1.6523947885539574,2.312621043131373,0.1820426361842528,-1.0436661099755673,2876.7380567649207,2851.849643511917
GRB190420981,1239838362.9660957,5.572661768692695,-1.1590731562494343,"L1,V1",0.073732320107422,0.0717346142483718,0.013342003780955,0.0872221726338121,-0.0603903163264669,0.1129316708471332,1.3844102451548694,0.1667769497046025,0.0256012974774227,0.0296448240527581,1.6521098174903082,265.3542160329908,-4.0956507389458,1.696828569751852,1.1522964703755718,-0.2278741055330214,113.18095714260468,2424.847131743489,1.389445973553985,0.6627623714532718,0.0265875857311518,0.0457066545115618,0.5168484049958759,349.4906445778179,-3.089887324966296,0.0869527862448212,5.54588965348222,-1.1050005025726053,1771.3508728455445,2977.9355230006186
GRB190903722,1251566394.2554462,1.08960905202006,-1.132020552843522,V1,-0.036967828166844,0.0255087748892868,0.0486688559262748,0.0498915516399664,0.0856366840931188,0.0560344940317635,1.9120349473574223,0.1491938539290208,0.0130803613210319,-0.0290895692517526,1.8755756609040977,633.3589401485629,-3.193368517602952,2.389144834831489,1.7845129470112333,-0.3885157849184072,490.62343982231135,1847.052592583817,1.7658646309292223,0.2019503082125182,0.0437052786129863,0.0135640188097873,1.708125111454617,516.342631089247,-4.046345260979397,2.1073347421180912,1.1325841886217862,-1.2010489559072592,3829.433088060933,567.1751779860747
GRB240115461,1389351812.105088,0.2843141351498762,0.435808714222984,"H1,L1",-0.6725246353282625,0.064455247962787,-0.1694904567067451,0.1084873305814779,0.5030341786215173,0.1261902527402146,1.7910617178134145,0.1404072291215132,0.0391833184512739,0.0230553971717369,1.6296231381163242,320.2839814160764,-1.8846507426508048,2.0125165212084,5.761921783578642,0.381293377609997,12.789114645505247,2648.48930459805,1.2185739908286748,0.2682189428256026,0.0226069144363818,0.027117840480614,1.1426902964252537,187.5570171912512,-4.800268778618296,2.2635994585942534,0.1501762669863382,0.3626734939631374,4660.014750375787,2251.5150360172347
GRB230906538,1378040125.1485248,1.420174412347786,-0.8274605983705116,"H1,L1",0.0428272820562275,0.1234517790166793,-0.4861988790002167,0.055972255424435,-0.5290261610564443,0.1355479071018111,1.7211997862241384,0.237177579966351,-0.0391954226588536,0.0381922734617542,0.9551953659453316,422.05641772882177,-7.260175144046788,2.2338010410367284,0.9000933754166073,0.1723572312986707,2048.814164015037,866.6516228883082,1.4851700108495818,0.1360936822661658,-0.0341369125708558,-0.0165912762067958,1.390372793709884,566.9215937478817,-2.645396653698323,2.0758261144433945,1.3713342758351352,-0.8113226449500845,1269.6616516927957,1370.5361250252254
